,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
42486,2583,1,5,975118769,M,35,7,19610,Toy Story (1995),Animation|Children's|Comedy,False
174925,4578,318,5,964388357,M,25,0,02134,"Shawshank Redemption, The (1994)",Drama,False
524320,5285,3174,4,961093872,M,18,4,55410,Man on the Moon (1999),Comedy|Drama,False
105060,3010,1690,4,970523126,M,25,12,78759,Alien: Resurrection (1997),Action|Horror|Sci-Fi,False
957336,1842,1354,5,993443831,M,18,4,53190,Breaking the Waves (1996),Drama,False
148769,1113,3809,4,974916091,M,18,4,97215,What About Bob? (1991),Comedy,False
784629,5172,455,1,962722972,F,35,11,05602,Free Willy (1993),Adventure|Children's|Drama,False
964411,4130,227,3,965355236,M,35,6,48439,Drop Zone (1994),Action,False
607995,1120,2273,3,1037339891,M,18,4,95616,Rush Hour (1998),Action|Thriller,False
786154,3087,2875,5,970023019,F,1,1,90802,Sommersby (1993),Drama|Mystery|Romance,False
529243,4470,2012,5,965067413,M,35,12,15089,Back to the Future Part III (1990),Comedy|Sci-Fi|Western,False
567750,1737,3146,4,977011617,M,35,20,46614,Deuce Bigalow: Male Gigolo (1999),Comedy,False
657608,1150,168,1,974875561,F,25,20,75226,First Knight (1995),Action|Adventure|Drama|Romance,False
771744,1058,3543,4,974957386,M,25,1,97321,Diner (1982),Comedy|Drama,False
644372,2279,1077,5,974560337,M,50,7,08816,Sleeper (1973),Comedy|Sci-Fi,False
822180,2761,1017,4,973149016,M,35,6,80917,Swiss Family Robinson (1960),Adventure|Children's,False
681784,195,3698,3,991108809,M,25,12,10458,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
164735,5268,1527,5,961170162,F,25,2,68502,"Fifth Element, The (1997)",Action|Sci-Fi,False
526026,5664,3175,4,958763785,M,18,4,48363,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,False
2810,5480,914,4,959866786,F,25,14,07030,My Fair Lady (1964),Musical|Romance,False
966249,1425,308,5,983218243,M,1,10,08872,Three Colors: White (1994),Drama,False
106744,5806,982,3,957986583,F,50,1,08826,Picnic (1955),Drama,False
865076,1778,2491,2,974780595,M,18,4,94704,Simply Irresistible (1999),Comedy|Romance,False
113114,4048,2312,4,965505148,F,35,1,89431,Children of a Lesser God (1986),Drama,False
742634,2208,3556,4,985389514,M,25,0,10006,"Virgin Suicides, The (1999)",Comedy|Drama,False
909879,5195,3545,5,961695133,M,35,7,80304,Cabaret (1972),Musical|War,False
944577,5054,2285,2,994525432,M,35,2,20818,If.... (1968),Drama,False
395715,133,805,5,977421884,F,25,0,55071,"Time to Kill, A (1996)",Drama,False
324093,1120,2406,4,975537449,M,18,4,95616,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,False
199993,2484,1266,5,974148463,M,45,5,31901,Unforgiven (1992),Western,False
361718,1227,58,5,976904866,M,50,1,90027,"Postino, Il (The Postman) (1994)",Drama|Romance,False
760200,92,1057,2,986187670,F,18,4,44243,Everyone Says I Love You (1996),Comedy|Musical|Romance,False
455252,4995,750,3,962596764,M,50,20,55419,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,False
444632,765,2078,4,975453912,M,25,17,74467,"Jungle Book, The (1967)",Animation|Children's|Comedy|Musical,False
187754,1776,1431,3,974706215,M,25,0,45801,Beverly Hills Ninja (1997),Action|Comedy,False
24989,4114,1270,3,965363972,M,35,14,48187,Back to the Future (1985),Comedy|Sci-Fi,False
824953,1746,2926,5,974854357,M,25,4,33157,Hairspray (1988),Comedy|Drama,False
63090,117,648,4,977495380,M,25,17,33314,Mission: Impossible (1996),Action|Adventure|Mystery,False
338177,5653,1007,4,958970609,M,50,1,74105,"Apple Dumpling Gang, The (1975)",Children's|Comedy|Western,False
9827,3916,2804,4,965758017,M,25,4,02134,"Christmas Story, A (1983)",Comedy|Drama,False
217370,5678,1036,4,958627346,M,35,17,98103,Die Hard (1988),Action|Thriller,False
816477,1941,2565,5,974853492,M,35,17,94550,"King and I, The (1956)",Musical,False
391094,4279,2699,5,965286064,M,25,16,43215,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller,False
222579,2231,1201,4,974601801,M,50,11,85726,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
921912,2020,2505,3,976417525,M,25,7,45011,8MM (1999),Thriller,False
266636,4786,1704,4,963008870,M,45,6,22630,Good Will Hunting (1997),Drama,False
293508,737,551,4,1011560459,M,1,19,53711,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,False
96418,778,110,5,975436328,M,18,17,32694,Braveheart (1995),Action|Drama|War,False
488009,3999,3704,3,965573562,M,35,17,30701,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi,False
807444,5539,3022,5,962589463,F,25,20,91403,"General, The (1927)",Comedy,False
327213,1926,1688,4,974773878,F,1,0,95404,Anastasia (1997),Animation|Children's|Musical,False
436992,137,1339,4,1000868854,F,45,6,78758,Bram Stoker's Dracula (1992),Horror|Romance,False
314545,17,2908,3,978159713,M,50,1,95350,Boys Don't Cry (1999),Drama,False
136538,1458,593,5,989959109,M,1,0,08055,"Silence of the Lambs, The (1991)",Drama|Thriller,False
406285,1998,3751,4,981858014,F,50,9,24018,Chicken Run (2000),Animation|Children's|Comedy,False
100232,1335,1834,4,974776944,M,35,0,14228,"Spanish Prisoner, The (1997)",Drama|Thriller,False
275530,3620,3020,3,972833689,M,25,7,94117,Falling Down (1993),Action|Drama,False
607475,5795,500,3,958148092,M,25,1,92688,Mrs. Doubtfire (1993),Comedy,False
465959,3338,1292,5,967828654,M,45,16,08053,Being There (1979),Comedy,False
429143,1314,586,4,975532701,F,18,4,68154,Home Alone (1990),Children's|Comedy,False
522286,442,2371,5,978455614,M,25,1,55105,Fletch (1985),Comedy,False
909888,5306,3545,5,961013396,F,25,17,92121,Cabaret (1972),Musical|War,False
41769,428,1,4,976260419,F,18,4,55455,Toy Story (1995),Animation|Children's|Comedy,False
163347,5747,920,4,958356887,M,25,0,03755,Gone with the Wind (1939),Drama|Romance|War,False
498609,2106,370,1,975440849,F,18,20,495321,Naked Gun 33 1/3: The Final Insult (1994),Comedy,False
650751,716,2116,5,982884357,M,18,4,98188,"Lord of the Rings, The (1978)",Adventure|Animation|Children's|Sci-Fi,False
853357,4606,3157,3,964200666,F,1,10,90291,Stuart Little (1999),Children's|Comedy,False
986952,3626,3544,2,966604704,M,25,17,75075,Shakes the Clown (1991),Comedy,False
852287,3202,1620,4,968572981,F,18,4,24060,Kiss the Girls (1997),Crime|Drama|Thriller,False
222613,2544,1201,4,978822713,M,45,1,52001,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
371110,1833,1711,4,974697334,M,18,17,07030,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery,False
855671,2743,2546,3,973222255,M,25,14,72601,"Deep End of the Ocean, The (1999)",Drama,False
703857,2641,3752,3,974536243,M,25,6,19428,"Me, Myself and Irene (2000)",Comedy,False
242800,5317,296,5,960906855,F,25,0,02138,Pulp Fiction (1994),Crime|Drama,False
122826,3683,1370,1,966522977,M,25,2,30606,Die Hard 2 (1990),Action|Thriller,False
338914,5771,1947,3,958752989,M,25,7,95616,West Side Story (1961),Musical|Romance,False
918703,2764,2819,5,973137385,M,25,7,91403,Three Days of the Condor (1975),Thriller,False
315147,4451,2908,4,965086315,M,25,14,30101,Boys Don't Cry (1999),Drama,False
833118,1425,2379,1,1008122385,M,1,10,08872,Police Academy 2: Their First Assignment (1985),Comedy,False
453940,2889,1283,4,972056411,M,35,3,55104,High Noon (1952),Western,False
746597,4318,431,4,965379362,M,25,5,02891,Carlito's Way (1993),Crime|Drama,False
488313,1088,1020,2,1037975844,F,1,10,98103,Cool Runnings (1993),Comedy,False
739795,2859,11,4,974417818,M,18,1,95814,"American President, The (1995)",Comedy|Drama|Romance,False
717259,3888,910,5,966178881,M,45,17,02067,Some Like It Hot (1959),Comedy|Crime,False
246668,2986,1909,3,970812419,M,25,4,24060,"X-Files: Fight the Future, The (1998)",Mystery|Sci-Fi|Thriller,False
631863,2466,2664,4,974162433,M,25,15,94303,Invasion of the Body Snatchers (1956),Horror|Sci-Fi,False
830443,5239,1231,4,961442319,M,35,7,07043,"Right Stuff, The (1983)",Drama,False
369456,1794,1639,2,974705372,M,25,11,20878,Chasing Amy (1997),Drama|Romance,False
385946,2624,2324,4,973905764,F,35,0,44313,Life Is Beautiful (La Vita � bella) (1997),Comedy|Drama,False
703180,4447,1717,3,965173337,M,45,5,32953,Scream 2 (1997),Horror|Thriller,False
741572,5759,196,1,959558735,F,25,1,08904,Species (1995),Horror|Sci-Fi,False
751802,2731,3770,3,973244385,M,35,7,11050,Dreamscape (1984),Adventure|Crime|Sci-Fi|Thriller,False
949834,3771,1992,2,966048803,M,25,1,14982,Child's Play 2 (1990),Horror,False
297780,4979,1089,2,962602659,M,35,2,55423,Reservoir Dogs (1992),Crime|Thriller,False
900060,482,1051,4,976219003,M,25,14,55305,Trees Lounge (1996),Drama,False
861910,5886,1952,5,957485544,M,25,20,02139,Midnight Cowboy (1969),Drama,False
842323,5734,1081,3,980888844,F,25,14,10022,Victor/Victoria (1982),Comedy|Musical,False
490994,5451,858,5,959933697,F,25,1,98115,"Godfather, The (1972)",Action|Crime|Drama,False
654065,2304,1186,3,974511269,M,45,12,94103,"Sex, Lies, and Videotape (1989)",Drama,False
840291,216,945,4,976864614,M,45,13,52761,Top Hat (1935),Comedy|Musical|Romance,False
589740,5107,2243,4,962336439,F,45,0,08081,Broadcast News (1987),Comedy|Drama|Romance,False
581767,343,1479,4,1035162776,F,35,3,55127,"Saint, The (1997)",Action|Romance|Thriller,False
691229,2304,1334,4,974495694,M,45,12,94103,"Blob, The (1958)",Horror|Sci-Fi,False
908975,59,3350,3,977934457,F,50,1,55413,"Raisin in the Sun, A (1961)",Drama,False
109118,3572,2858,5,966734943,M,35,11,04287,American Beauty (1999),Comedy|Drama,False
543545,2004,2393,4,974677182,M,45,19,53572,Star Trek: Insurrection (1998),Action|Sci-Fi,False
531121,1246,1073,4,974891743,M,18,4,98225,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy,False
311991,5070,562,5,962468296,M,25,2,55344,Welcome to the Dollhouse (1995),Comedy|Drama,False
351340,1105,474,4,974920868,M,35,6,48105,In the Line of Fire (1993),Action|Thriller,False
162651,2109,920,5,974651709,M,25,16,13090,Gone with the Wind (1939),Drama|Romance|War,False
551767,3469,1676,2,967155666,M,45,17,02176,Starship Troopers (1997),Action|Adventure|Sci-Fi|War,False
965078,3283,338,1,968122767,M,35,16,66208,Virtuosity (1995),Sci-Fi|Thriller,False
788104,3142,3684,4,968990660,M,25,20,85719,"Fabulous Baker Boys, The (1989)",Drama|Romance,False
258002,1447,1912,4,984289389,M,18,4,80521,Out of Sight (1998),Action|Crime|Romance,False
379363,1317,2600,5,974780131,M,45,7,98028,eXistenZ (1999),Action|Sci-Fi|Thriller,False
14244,3728,2398,3,966216289,M,18,4,07030,Miracle on 34th Street (1947),Drama,False
881661,5249,423,3,961601057,F,45,14,75006,Blown Away (1994),Action|Thriller,False
236405,3894,3793,4,965788646,M,35,16,02139,X-Men (2000),Action|Sci-Fi,False
470995,1921,1371,1,974693217,M,56,12,92780,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,False
983800,3151,1427,2,968917171,F,25,0,92870,Turbulence (1997),Thriller,False
357280,1059,508,3,974952075,F,25,0,97213,Philadelphia (1993),Drama,False
966198,4887,1910,3,962740224,M,18,2,19072,I Went Down (1997),Action|Comedy|Crime,False
200586,5874,1266,5,957564657,M,25,4,01002,Unforgiven (1992),Western,False
260514,5097,2716,4,962374247,M,56,16,19131,Ghostbusters (1984),Comedy|Horror,False
748444,5406,951,3,960304744,F,35,0,49504,His Girl Friday (1940),Comedy,False
692320,2101,2644,5,974653653,M,25,16,48309,Dracula (1931),Horror,False
867386,1448,3045,4,976554452,F,25,3,17522,Peter's Friends (1992),Comedy|Drama,False
538493,4116,2021,3,968553626,M,35,7,07040,Dune (1984),Fantasy|Sci-Fi,False
398923,3841,3301,3,965997000,M,45,18,26101,"Whole Nine Yards, The (2000)",Comedy|Crime,False
458826,1502,180,5,974750967,M,18,4,12188,Mallrats (1995),Comedy,False
567853,3591,3146,1,970447100,M,35,6,96158,Deuce Bigalow: Male Gigolo (1999),Comedy,False
486304,1306,3703,5,1006604345,M,25,3,64068,Mad Max 2 (a.k.a. The Road Warrior) (1981),Action|Sci-Fi,False
722426,4951,3210,3,962641620,F,35,17,90291,Fast Times at Ridgemont High (1982),Comedy,False
992492,5511,422,5,959717184,M,45,1,92407,Blink (1994),Thriller,False
933335,1903,1260,5,974694987,M,35,0,90401,M (1931),Crime|Film-Noir|Thriller,False
796250,3254,947,4,968281594,F,35,6,95843,My Man Godfrey (1936),Comedy,False
873299,231,1981,1,1043295045,M,25,3,55455,Friday the 13th Part VIII: Jason Takes Manhattan (1989),Horror,False
904930,2691,1228,5,976389064,M,18,4,06459,Raging Bull (1980),Drama,False
376879,3498,3259,1,967000709,M,25,17,28052,Far and Away (1992),Drama|Romance,False
104107,4560,589,4,964648574,M,25,0,69301,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
228603,1658,1175,4,974715458,F,35,6,94214,Delicatessen (1991),Comedy|Sci-Fi,False
417057,2916,1233,4,971732785,M,45,2,98011,"Boat, The (Das Boot) (1981)",Action|Drama|War,False
911326,1897,615,3,1017696451,F,50,2,94530,Bread and Chocolate (Pane e cioccolata) (1973),Drama,False
725760,2824,3243,4,1005967402,M,18,4,02111,Encino Man (1992),Comedy,False
95625,1473,3257,2,974757943,M,25,14,06511,"Bodyguard, The (1992)",Action|Drama|Romance|Thriller,False
368727,3942,741,2,966547261,M,18,4,49855,Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi,False
170769,319,1784,1,976421630,F,50,6,33436,As Good As It Gets (1997),Comedy|Drama,False
206782,729,2617,1,975513435,M,35,12,85284,"Mummy, The (1999)",Action|Adventure|Horror|Thriller,False
578661,355,3479,4,978655255,M,18,3,55107,Ladyhawke (1985),Adventure|Fantasy|Romance,False
86374,1246,902,3,1021851711,M,18,4,98225,Breakfast at Tiffany's (1961),Drama|Romance,False
654456,338,222,4,976346359,M,35,7,55116,Circle of Friends (1995),Drama|Romance,False
532565,299,541,5,998517992,M,25,12,97370,Blade Runner (1982),Film-Noir|Sci-Fi,False
47181,872,260,4,975273146,M,50,1,20815,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,False
798123,4607,1237,3,1018906985,M,25,0,27403,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,False
309447,1884,24,3,975648024,M,45,20,93108,Powder (1995),Drama|Sci-Fi,False
229072,991,39,4,975087748,F,25,9,48103,Clueless (1995),Comedy|Romance,False
565681,2225,3129,1,974676966,M,25,5,96815,Sweet and Lowdown (1999),Comedy|Drama,False
154656,4921,21,3,962780380,F,25,15,92507,Get Shorty (1995),Action|Comedy|Drama,False
670315,1010,1960,3,975229047,M,25,0,10310,"Last Emperor, The (1987)",Drama|War,False
221175,757,3527,4,975453604,M,25,12,97401,Predator (1987),Action|Sci-Fi|Thriller,False
681231,4379,2020,4,965180999,M,25,4,27278,Dangerous Liaisons (1988),Drama|Romance,False
933911,392,69,5,976304578,M,18,7,20037,Friday (1995),Comedy,False
59615,1920,1246,4,975126967,F,35,7,80122,Dead Poets Society (1989),Drama,False
593359,4779,3798,4,967993910,M,45,3,04011,What Lies Beneath (2000),Thriller,False
761263,3746,1663,4,966137722,M,25,5,54703,Stripes (1981),Comedy,False
954894,1069,3125,5,974944316,M,25,20,98105,"End of the Affair, The (1999)",Drama,False
675996,3792,1562,3,992020107,M,25,6,68108,Batman & Robin (1997),Action|Adventure|Crime,False
971329,1726,1744,1,974712016,M,25,2,60160,Firestorm (1998),Action|Adventure|Thriller,False
656782,3464,232,3,967246860,F,25,14,78251,Eat Drink Man Woman (1994),Comedy|Drama,False
699341,5511,3082,3,959715794,M,45,1,92407,"World Is Not Enough, The (1999)",Action|Thriller,False
435311,4510,2136,3,964987918,M,45,7,92503,"Nutty Professor, The (1963)",Comedy,False
562883,2242,3396,5,974598302,M,18,4,60115,"Muppet Movie, The (1979)",Children's|Comedy,False
399356,2611,1343,4,973802265,M,25,3,07719,Cape Fear (1991),Thriller,False
176165,2859,1968,3,1016472654,M,18,1,95814,"Breakfast Club, The (1985)",Comedy|Drama,False
116315,4450,3699,3,965086713,M,25,15,60611,Starman (1984),Adventure|Drama|Romance|Sci-Fi,False
807096,4543,2065,5,964670253,M,25,2,11105,"Purple Rose of Cairo, The (1985)",Comedy|Drama|Romance,False
310115,1167,348,3,974863756,F,50,1,55126,Bullets Over Broadway (1994),Comedy,False
544858,1980,1302,5,974687608,M,35,7,06460,Field of Dreams (1989),Drama,False
133472,165,1198,3,977198343,M,18,16,98502,Raiders of the Lost Ark (1981),Action|Adventure,False
639938,4508,2288,5,964980414,M,25,20,15701,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,False
680193,293,475,4,979675913,M,56,1,55337-4056,In the Name of the Father (1993),Drama,False
694896,1277,330,3,974798054,F,18,0,06360,Tales from the Hood (1995),Comedy|Horror,False
596379,1637,748,4,974715428,M,56,0,90049,"Arrival, The (1996)",Action|Sci-Fi|Thriller,False
664464,716,839,4,978750907,M,18,4,98188,"Crow: City of Angels, The (1996)",Action|Thriller,False
712358,810,678,4,975394424,M,25,12,98006,Some Folks Call It a Sling Blade (1993),Drama|Thriller,False
89749,1422,3147,3,976120999,M,35,17,55934,"Green Mile, The (1999)",Drama|Thriller,False
92403,4281,1293,4,965281934,M,56,13,92120,Gandhi (1982),Drama,False
785656,163,2942,1,977212106,M,18,4,85013,Flashdance (1983),Drama|Romance,False
857075,3051,3555,3,1027756352,M,18,17,94063,U-571 (2000),Action|Thriller,False
894811,5082,307,4,962407430,M,35,1,23185,Three Colors: Blue (1993),Drama,False
654248,4258,1186,3,1002899147,M,25,17,19711,"Sex, Lies, and Videotape (1989)",Drama,False
625978,5856,2975,5,957733868,F,25,7,78232,"Best Man, The (1999)",Drama,False
593763,3441,2707,2,972795919,F,25,14,94109,Arlington Road (1999),Thriller,False
425888,699,3869,3,975558428,M,18,0,73505,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy,False
982480,1088,174,1,1021764867,F,1,10,98103,Jury Duty (1995),Comedy,False
458626,5432,2300,5,960055940,M,56,13,01742,"Producers, The (1968)",Comedy|Musical,False
60918,2537,3068,4,974054420,M,35,11,37620,"Verdict, The (1982)",Drama,False
222506,1667,1201,4,974711376,M,50,16,98516,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
870686,4837,2468,1,962896295,M,25,5,46254,Jumpin' Jack Flash (1986),Action|Comedy|Romance|Thriller,False
930316,4932,700,4,962652885,M,25,7,63303,Angus (1995),Comedy,False
543668,3012,2393,2,1044067403,M,25,12,78660,Star Trek: Insurrection (1998),Action|Sci-Fi,False
452261,2063,2080,3,979408175,M,25,4,43138,Lady and the Tramp (1955),Animation|Children's|Comedy|Musical|Romance,False
863167,1861,3251,4,974770429,M,50,16,92129,Agnes of God (1985),Drama|Mystery,False
225314,3768,1240,5,966068039,M,25,4,86314,"Terminator, The (1984)",Action|Sci-Fi|Thriller,False
392287,3309,367,4,967969121,M,25,17,20707,"Mask, The (1994)",Comedy|Crime|Fantasy,False
321183,5015,34,5,962593411,M,35,6,92672,Babe (1995),Children's|Comedy|Drama,False
969606,245,2988,3,976734152,M,35,16,66046,Melvin and Howard (1980),Drama,False
274198,2212,3744,4,974602499,M,18,4,80521,Shaft (2000),Action|Crime,False
961040,2030,3813,4,974748155,M,25,4,77345,Interiors (1978),Drama,False
332190,3080,3524,2,1015018986,M,25,20,55410,Arthur (1981),Comedy|Romance,False
644861,6003,1077,4,956982465,F,45,17,78722,Sleeper (1973),Comedy|Sci-Fi,False
571355,1803,2539,3,974707573,M,25,2,50021,Analyze This (1999),Comedy,False
974152,169,3329,2,981934453,M,25,7,55439,"Year My Voice Broke, The (1987)",Drama,False
66526,2551,2628,3,974015073,M,25,12,98133,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,False
519312,4224,2874,4,965314096,F,45,1,48198,"Pajama Game, The (1957)",Comedy,False
446861,887,1278,5,975259395,F,56,16,55345,Young Frankenstein (1974),Comedy|Horror,False
799817,3292,928,3,968100943,F,50,6,79410,Rebecca (1940),Romance|Thriller,False
47060,631,260,5,975779646,M,35,17,28601,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,False
57221,1029,608,3,993323411,M,25,0,20015,Fargo (1996),Crime|Drama|Thriller,False
290903,528,2890,3,976245302,F,18,17,83843,Three Kings (1999),Drama|War,False
605498,5659,1396,4,958788479,M,25,0,20874,Sneakers (1992),Crime|Drama|Sci-Fi,False
82096,4659,3108,1,963974830,F,25,14,37076,"Fisher King, The (1991)",Comedy|Drama|Romance,False
646525,2058,2455,4,974663286,F,56,1,06437,"Fly, The (1986)",Horror|Sci-Fi,False
335239,1878,3753,5,974752929,M,1,10,92846,"Patriot, The (2000)",Action|Drama|War,False
501171,473,953,5,976222592,F,18,4,55112,It's a Wonderful Life (1946),Drama,False
513589,4819,2003,5,962927489,M,35,18,17350,Gremlins (1984),Comedy|Horror,False
376922,4140,3259,3,965355426,M,25,0,32112,Far and Away (1992),Drama|Romance,False
335562,3356,3753,3,967698758,M,35,7,95031,"Patriot, The (2000)",Action|Drama|War,False
553352,4725,2040,3,963375798,M,35,5,96707-1321,"Computer Wore Tennis Shoes, The (1970)",Children's|Comedy,False
131739,2424,1552,3,974689142,M,25,17,95035,Con Air (1997),Action|Adventure|Thriller,False
255543,5795,377,2,958143844,M,25,1,92688,Speed (1994),Action|Romance|Thriller,False
33083,2941,745,5,971349949,M,35,12,98033,"Close Shave, A (1995)",Animation|Comedy|Thriller,False
531994,5359,1073,2,975946544,M,18,16,27705,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy,False
875768,2894,3404,2,971987374,M,18,4,44130,Titanic (1953),Action|Drama,False
38020,274,2762,5,976593895,M,18,4,55455,"Sixth Sense, The (1999)",Thriller,False
194143,1010,653,2,975218863,M,25,0,10310,Dragonheart (1996),Action|Adventure|Fantasy,False
261260,3462,1485,4,968708772,F,25,4,73160,Liar Liar (1997),Comedy,False
719817,4279,786,2,965282997,M,25,16,43215,Eraser (1996),Action|Thriller,False
659100,2889,1344,3,972057417,M,35,3,55104,Cape Fear (1962),Film-Noir|Thriller,False
939131,2445,3515,1,974217116,M,25,0,48104,Me Myself I (2000),Comedy,False
114533,3211,1408,4,968548060,M,50,16,20015,"Last of the Mohicans, The (1992)",Action|Romance|War,False
981343,195,525,5,977454799,M,25,12,10458,"Saint of Fort Washington, The (1993)",Drama,False
259200,1572,2716,2,974737959,F,25,3,02155,Ghostbusters (1984),Comedy|Horror,False
713149,4156,173,2,965342648,M,56,20,95123,Judge Dredd (1995),Action|Adventure|Sci-Fi,False
332864,2824,1569,5,1005967174,M,18,4,02111,My Best Friend's Wedding (1997),Comedy|Romance,False
130281,3953,1196,3,965675242,M,25,12,55117,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
452398,3029,2080,5,970369323,M,18,4,92037,Lady and the Tramp (1955),Animation|Children's|Comedy|Musical|Romance,False
671169,4285,3639,4,965282893,M,35,0,62704,"Man with the Golden Gun, The (1974)",Action,False
561992,2793,1288,5,972941375,M,35,7,70116,This Is Spinal Tap (1984),Comedy|Drama|Musical,False
792985,3029,3274,3,970364818,M,18,4,92037,Single White Female (1992),Action,False
733317,3361,1267,4,967685934,M,25,4,91790,"Manchurian Candidate, The (1962)",Film-Noir|Thriller,False
13156,2063,595,3,974661455,M,25,4,43138,Beauty and the Beast (1991),Animation|Children's|Musical,False
230613,3290,288,5,968092489,M,25,14,90292,Natural Born Killers (1994),Action|Thriller,False
892686,3308,1726,2,967998525,F,18,20,15701-1348,"Postman, The (1997)",Drama,False
27411,4009,527,5,965545510,M,18,7,44039,Schindler's List (1993),Drama|War,False
21968,1450,2321,4,974768632,M,18,4,94704,Pleasantville (1998),Comedy,False
829630,3687,3844,3,966315291,F,50,1,62221,Steel Magnolias (1989),Drama,False
687611,4114,1321,5,965363751,M,35,14,48187,"American Werewolf in London, An (1981)",Horror,False
664641,2015,1005,1,975035811,M,18,4,01003,D3: The Mighty Ducks (1996),Children's|Comedy,False
218864,2611,2366,3,973795237,M,25,3,07719,King Kong (1933),Action|Adventure|Horror,False
157614,3243,380,4,968394905,M,25,12,98117,True Lies (1994),Action|Adventure|Comedy|Romance,False
229863,4459,39,4,965497519,M,25,1,28027,Clueless (1995),Comedy|Romance,False
77521,4409,3578,4,965152481,M,25,14,65023,Gladiator (2000),Action|Drama,False
816279,5759,3504,5,959817946,F,25,1,08904,Network (1976),Comedy|Drama,False
527473,1362,2011,2,975206301,M,35,12,75069,Back to the Future Part II (1989),Comedy|Sci-Fi,False
350313,2408,1573,4,974255078,F,45,1,01609,Face/Off (1997),Action|Sci-Fi|Thriller,False
969595,5597,1998,4,959215162,F,18,4,95008,Exorcist II: The Heretic (1977),Horror,False
908694,2247,3185,4,979315398,M,45,2,60613,Snow Falling on Cedars (1999),Drama,False
